case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
1,179,168.62,170,43.872,-8.38E+06,-6413.1,-5341.1,4791.8,-2268.1,1
2,1,102.86,105,55.009,-8.39E+06,-4641.2,3969.3,-4079,3452.5,1
3,159,142.63,152,47.455,-8.38E+06,-5882,-8580.2,2719.4,368.03,1
4,166,137.41,149,40.32,-8.39E+06,-8095,-669.49,3205.1,-3162.9,1
5,163,162.49,164,48.545,-8.38E+06,-7291,-5778.4,2111.3,682.6,1
6,205,155.05,167,50.532,-8.38E+06,-2500.9,664.22,2475.5,-5560.5,1
7,191,149.62,152,39.78,-8.38E+06,-3518.4,-1076.6,4033.2,-6084.7,1
8,0,144.79,161,58.83,-8.38E+06,-2135.1,497.87,2432.6,-2418.4,1
9,199,152.95,153,36.297,-8.38E+06,-5910.9,-1682.4,2023.2,-5759,1
10,0,124.58,145,63.28,-8.39E+06,4416.6,-220.92,6493.1,159.74,1
11,207,161.39,163,34.836,-8.38E+06,-7743.7,-2900.2,1226.1,-4244.8,1
12,0,131.89,129,55.973,-8.39E+06,-4025.2,2993.9,-4295.4,-1389.4,1
13,0,146.19,162,49.25,-8.38E+06,-3435.8,-5594.2,6316.4,-3743,1
14,0,141.51,160,55.966,-8.38E+06,-10730,3466.7,-3392.1,307.64,1
15,154,151.15,154,36.216,-8.38E+06,-7704.6,-3038.3,-1241.4,-2184.1,1
16,2,130.19,132,67.747,-8.38E+06,2925.7,-2980.4,-6727.8,4705,1
17,190,151.75,154,50.543,-8.38E+06,-4167.9,-6290.4,3036.7,-511.62,1
18,2,132.32,144,59.745,-8.39E+06,-1260.5,-8494.2,7388.9,2595.7,1
19,146,178.89,182,37.927,-8.37E+06,-7513.9,-6264.4,-2740.1,-3883.3,1
20,0,119.67,129,54.032,-8.39E+06,-10554,1183.2,1329.7,416.77,1
21,0,141.25,151,51.631,-8.38E+06,-3728.4,-3635.4,-3388,2184.2,1
22,0,132.96,145,54.58,-8.39E+06,-4795.3,-6411.2,-5810.6,1227.4,1
23,163,153.68,153,53.225,-8.38E+06,-4777.7,-4230.5,354.96,2196.5,1
24,0,94.046,97,63.227,-8.40E+06,-764.14,8440.5,-2882.9,226.21,1
25,0,147.73,157,53.344,-8.38E+06,-8743,-1944.6,-1119.9,-5068.8,1
26,158,150.42,154,53.412,-8.38E+06,-4697.8,-7009,5812.2,-8585.7,1
27,1,128.87,142,63.341,-8.39E+06,-1821.7,3598.9,4066.2,-250.6,1
28,157,151.57,156,33.781,-8.38E+06,-6889.8,-5717.1,-2289.6,-3290,1
29,255,151.42,151,50.345,-8.38E+06,-5087.6,-6680.1,-566.15,910.17,1
30,0,118.55,135,69.083,-8.39E+06,-2632.4,8988.4,-1441.8,-1944.6,1
31,252,151.35,157,86.536,-8.38E+06,-11320,9141.7,-9081.4,-3424,1
32,136,125.98,129,32.67,-8.39E+06,-2853.1,-4999.6,-429.48,-1911.5,1
33,252,186.35,202,62.371,-8.37E+06,-10539,-579.42,-7475,-2374.2,1
34,199,146.41,162,52.648,-8.38E+06,-9160.4,1151.5,-267.03,-2634.4,1
35,3,141.27,156,56.495,-8.38E+06,-2460,-3940.6,2379.7,4968.7,1
36,0,159.49,179,79.534,-8.38E+06,-11360,7594.4,-2622.1,4291.3,1
37,0,133.41,158,71.572,-8.38E+06,-4404.1,2242,13374,1319.1,1
38,164,144.05,150,42.737,-8.38E+06,-7755.1,-5673.9,-1171.8,-974.35,1
39,0,121.24,118,72.54,-8.39E+06,-5450.9,2494.9,1175.2,7419.1,1
40,0,133.91,153,57.709,-8.39E+06,-3032.3,-3425.6,9256.8,1367.1,1
41,3,129.78,136,74.956,-8.38E+06,-7072.4,3766.8,3990.9,7299.6,1
42,0,127.72,146,69.086,-8.39E+06,-5923,5252,6207.6,2593,1
43,253,176.63,191,65.117,-8.37E+06,-9473.8,-2237.8,3672.3,2331.8,1
44,0,129.67,148,61.89,-8.39E+06,-5417.7,648.49,8122.6,1530,1
45,0,143.32,153,78.164,-8.38E+06,-10699,8488.3,-1927.2,3787.1,1
46,239,151.8,163,66.264,-8.38E+06,-5684.8,-6022.9,-2521.2,2815.1,1
47,0,152.05,158,76.114,-8.38E+06,-12958,5832.4,-3271.4,198.47,1
48,0,152.76,156,45.923,-8.38E+06,-8113.6,-3965.4,2152.2,-7236.1,1
49,0,158.34,176,69.118,-8.38E+06,2524.1,1092.2,-2358.8,997.85,1
50,0,126.57,141,61.023,-8.39E+06,-4627,901.26,10082,1900.3,1
51,0,144.37,148,74.042,-8.38E+06,-106.32,2084.7,4743.3,5683.3,1
52,0,131.56,155,57.559,-8.39E+06,-834.07,3903.4,139.02,-92.331,1
53,0,141.85,157,54.005,-8.38E+06,-3471.3,2900.7,-39.102,1102.2,1
54,196,150.04,164,65.208,-8.38E+06,-2343,-123.95,1587.1,6259,1
55,0,136.26,155,59.487,-8.38E+06,-792.85,5453.1,940.83,-647.34,1
56,12,148.71,161,64.344,-8.38E+06,-2955.7,2746.4,-8592.2,-3306.5,1
57,0,140.83,154,56.207,-8.38E+06,2643.6,2319.5,715.07,-4515.4,1
58,0,141.38,159,79.813,-8.38E+06,-3144.1,5792.1,9451,5810.8,1
59,0,127.61,152,64.567,-8.39E+06,-4042.7,7990,2758.6,539,1
60,0,157.75,171,72.275,-8.38E+06,-2727.3,18.295,4714.1,6070.7,1
61,0,134.65,154,55.923,-8.38E+06,-3244.5,6928.1,-2719.1,-2021.2,1
62,191,150.59,166,48.469,-8.38E+06,-8121.5,-1508.8,-3354.8,-1257.7,1
63,0,128.11,133,67.217,-8.39E+06,-5201,-1512.5,-2664.1,7436.6,1
64,0,124.78,148,68.357,-8.39E+06,-4349.4,7051.7,853.7,-1373.3,1
65,0,163.09,183,65.305,-8.38E+06,3029.1,-9093.2,3729.4,2731.3,1
66,0,127.46,150,61.814,-8.39E+06,-5924.1,7017.3,3197.6,1673.7,1
67,151,157.43,159,54.747,-8.38E+06,-7701.7,3412,-2936.1,-796.72,1
68,189,145.23,158,50.573,-8.38E+06,-10179,814.77,-1678.1,-516.26,1
69,205,143.98,163,54.982,-8.38E+06,-10436,-1364.1,-4301.4,1267.7,1
70,234,167.66,174,53.384,-8.38E+06,-5099.8,2814.9,-4211.8,-2495,1
71,0,138.87,153,56.426,-8.38E+06,-3378.9,1429.2,5389.8,-2063.5,1
72,0,126.1,138,62.475,-8.39E+06,-7653.5,6919.6,-4620.7,669.69,1
73,136,158.33,157,30.751,-8.38E+06,-7537.2,-3500.4,642.69,-4643.4,1
74,168,158.74,160,51.219,-8.38E+06,-7324.6,-101.09,-5015.4,-1551.4,1
75,0,147.86,169,57.723,-8.38E+06,-8329.9,5502.2,212.06,-133,1
76,0,128.62,129,50.321,-8.39E+06,-5981.8,-3921.6,3798.3,-1131.2,1
77,0,151.52,174,60.729,-8.38E+06,-8193.2,4578.8,3848.7,466.36,1
78,157,162.59,161,36.262,-8.38E+06,-6456.7,-2146,-1046.5,-2891.3,1
79,204,148.51,155,50.193,-8.38E+06,-8449.3,-1358.4,4807.5,-2783.3,1
80,254,190.6,201,52.384,-8.37E+06,-10160,-11468,-871.81,-3968.7,1
81,0,137.88,146,55.1,-8.38E+06,-8655.9,-1669.2,7727,1407.8,1
82,0,160.45,181,74.684,-8.38E+06,-9894.7,-373.96,-1733.6,6718,1
83,199,145.7,161,52.312,-8.38E+06,-12744,-840.6,-1216.3,-724,1
84,0,149.17,157,44.535,-8.38E+06,-9772.1,381.36,301.14,-3921.7,1
85,0,176.14,199,66.877,-8.37E+06,1339.5,-2478.2,-1481.8,-2685.5,1
86,144,121.38,135,50.272,-8.39E+06,-4315.4,-8504.7,-1193,2536.8,1
87,127,149.66,147,52.352,-8.38E+06,-7642.4,-6926.2,-4397.6,-8297,1
88,0,142.19,160,59.731,-8.38E+06,-8610.1,-5194.3,1048.4,5062,1
89,0,112.9,131,81.269,-8.39E+06,6641.4,6258.9,5649.6,-13365,1
90,203,147.27,164,53.488,-8.38E+06,-5245.2,357.85,-3642.9,559.51,1
91,0,138.52,152,80.394,-8.38E+06,-3434.5,6025.4,10127,5820.1,1
92,205,151.35,169,49.037,-8.38E+06,-11551,-5207.9,-2565.1,-1921.6,1
93,0,149.7,169,50.83,-8.38E+06,-7902.9,4585.8,3235.2,-3458.7,1
94,0,145.28,158,81.477,-8.38E+06,-4096.2,10512,-8763.1,-1843.4,1
95,0,125.23,136,54.412,-8.39E+06,-4278,6272.7,2659.6,-1008.3,1
96,0,146.92,156,44.292,-8.38E+06,-6726.2,2923.5,-2714.2,-5057.5,1
97,226,154.69,167,56.919,-8.38E+06,-5915.4,1126.1,-5525,-1002.1,1
98,179,126.23,127,61.965,-8.39E+06,-7684.2,-844.01,-5455.7,3018.6,1
99,178,160.46,172,44.204,-8.38E+06,-9060.3,-1660.4,2455,-7046.3,1
100,0,170.58,197,74.89,-8.37E+06,-7323.8,8663,-5226.2,216.29,1
101,0,106.16,110,60.66,-8.39E+06,5023,-1680.5,605.24,4669.1,0
102,0,125.44,130,59.962,-8.39E+06,3455.3,-437.87,-6571,2179.2,0
103,0,132.06,141,56.899,-8.38E+06,5561.5,-1340,-2331.3,-747,0
104,0,122.39,134,68.076,-8.39E+06,8939.8,2086.4,-254.37,996.94,0
105,0,136.85,151,58.518,-8.38E+06,6666.7,-2644,-3215.9,-1776,0
106,0,134.02,142,56.232,-8.39E+06,3374.9,-5593.5,-2851,145.81,0
107,0,138.15,148,56.54,-8.38E+06,6801.5,-3352,-2941.7,-603.04,0
108,0,125.79,135,56.707,-8.39E+06,3504.8,1241.7,-3247.2,2266.8,0
109,0,125.29,131,61.387,-8.39E+06,5831.9,-1254.8,-6584.4,1085,0
110,0,122.04,132,66.899,-8.39E+06,9093.5,-1570.3,-5245.6,2490.3,0
111,0,125.7,136,65.763,-8.39E+06,8824.8,-462.54,1635.4,-149.07,0
112,0,130.82,137,52.603,-8.39E+06,3062.8,-3991.7,-2952.4,-977.28,0
113,0,117.04,122,64.725,-8.39E+06,8255.1,-2234.3,2944.5,2185,0
114,0,126.8,136,57.697,-8.39E+06,5341.3,-5837.9,13.692,1295.5,0
115,0,93.651,97,65.36,-8.40E+06,-95.739,1505.9,-448.48,4070.2,0
116,0,130.82,140,56.763,-8.39E+06,6156.1,-1293.8,783.52,-1783.7,0
117,236,164,185,66.858,-8.38E+06,-7354.1,-1598.5,-143.43,4888.9,0
118,236,164,185,66.858,-8.38E+06,-7354.1,-1598.5,-143.43,4888.9,0
119,0,103.57,116,57.888,-8.39E+06,8093.7,2378.1,3953.3,-2502,0
120,0,99.803,99,65.519,-8.39E+06,8160.2,2653.9,2659,1031.9,0
121,0,137.84,146,62.944,-8.38E+06,3692.2,478.13,-5826.6,357.61,0
122,0,125.27,126,72.046,-8.39E+06,6147.8,4003.7,-3908.7,2547.6,0
123,0,134.87,140,56.661,-8.38E+06,5900.8,-353.29,-1498.2,-1110,0
124,0,133.64,143,56.996,-8.38E+06,6107.3,-2512.9,-1390.2,-1606.2,0
125,0,125.27,140,60.001,-8.39E+06,8221.7,645,-1872.8,-2822.3,0
126,12,123.74,130,69.864,-8.39E+06,1053,4981.2,7016.3,4031.3,0
127,0,116.51,122,63.541,-8.39E+06,7300.8,-3556.7,-2248.9,3943.7,0
128,0,137.6,151,69.509,-8.38E+06,2937.3,4471.3,2804.6,3671.6,0
129,0,116.85,125,53.463,-8.39E+06,7075.1,-1819.2,-728.65,611.96,0
130,0,114.48,122,63.054,-8.39E+06,8801.5,-569.77,2054.7,1547.4,0
131,0,120.46,133,62.557,-8.39E+06,5739.3,-3349,-4029.6,3389.8,0
132,195,132.96,149,58.762,-8.38E+06,5980.9,904.74,5306.7,-2389.3,0
133,186,145.02,153,47.846,-8.38E+06,-563.73,-4312.9,-781.42,-1388.9,0
134,0,126.19,136,48.765,-8.39E+06,4411.5,-5892.8,1142.4,-630.78,0
135,0,119.98,134,63.087,-8.39E+06,9139.6,956.6,586.8,-2706.8,0
136,0,101.06,110,52.587,-8.39E+06,5128.8,915.9,-218.74,-269.28,0
137,0,130.43,140,63.777,-8.39E+06,4677.5,-3681.9,-1191,3580.1,0
138,16,138.02,148,74.977,-8.38E+06,4584.2,2541.8,2361.6,1424.7,0
139,0,126.48,134,63.64,-8.39E+06,7993.4,-1674.3,757.73,2187.8,0
140,0,109.8,118,55.542,-8.39E+06,4100.6,-2573,-1986.5,3830.8,0
141,0,110.97,128,60.494,-8.39E+06,9873,-29.052,488.81,-1758.4,0
142,0,114.51,119,65.912,-8.39E+06,9256.1,-1258.9,-5407.5,659.69,0
143,0,115.13,121,65.786,-8.39E+06,9068.8,-1257,2130,1177.1,0
144,0,122.13,134,63.788,-8.39E+06,7749.5,1724.5,-5405.2,-1975.1,0
145,0,119.18,124,66.033,-8.39E+06,8499.1,2919,-2784.4,-744.4,0
146,0,106.51,119,68.526,-8.39E+06,8523.3,5233.3,2006,-3082.3,0
147,0,128.13,140,59.563,-8.39E+06,7458.4,2130.3,186.53,-1902.1,0
148,0,132.21,142,55.344,-8.39E+06,6089.7,308.17,-764.26,-1335.4,0
149,0,136.25,144,54.715,-8.38E+06,5232.7,-2447.3,-1358.4,237.14,0
150,0,118.15,132,58.184,-8.39E+06,8101.6,2297.7,2491.6,-2236.5,0
151,0,124.49,136,57.015,-8.39E+06,6964.8,-6030.7,-2662.3,890.67,0
152,0,110.59,118,63.374,-8.39E+06,7194.4,3463,652.43,841.9,0
153,0,129.52,141,62.347,-8.39E+06,3927.5,2776.7,-7446.2,-20.912,0
154,0,123.08,132,56.899,-8.39E+06,7749.7,-1942.7,-1323.4,-1445,0
155,0,115.43,119,63.907,-8.39E+06,8180.9,-2700.5,-1293.2,2314.6,0
156,0,112.17,119,62.204,-8.39E+06,8949.6,2557.2,866.59,-975.58,0
157,0,113.53,118,49.425,-8.39E+06,5079.5,1377.8,-202,-556.5,0
158,0,148.69,163,64.642,-8.38E+06,5608.8,1647.5,-63.016,-2098,0
159,5,152.9,163,63.177,-8.38E+06,-5343.9,-1378.2,-2194,5643.6,0
160,0,140.81,153,52.376,-8.38E+06,3753.7,1398.3,1704.3,-7024.2,0
161,0,107.94,119,61.694,-8.39E+06,9409.8,1363.1,-1749.7,-1498.4,0
162,0,130.14,140,58.386,-8.39E+06,3671.8,1333.6,-3062.9,1169,0
163,0,111.18,119,59.779,-8.39E+06,6033.7,2314.7,-845.97,300.02,0
164,0,125.89,130,54.666,-8.39E+06,4801.2,-3885.7,-3857.6,1513.9,0
165,0,121.66,130,57.223,-8.39E+06,3785.6,2345.3,-1695.9,1832.7,0
166,0,137.58,146,54.637,-8.38E+06,5282.3,-3623.3,-1143.2,-2518.9,0
167,0,122.73,133,55.736,-8.39E+06,6777.8,-564.16,2344.2,-1020,0
168,0,124.62,138,65.402,-8.39E+06,7334.9,-3069.2,-2176.1,2918.2,0
169,0,109.05,119,55.26,-8.39E+06,3985.5,3288.9,-2196,-2904.4,0
170,0,134.62,143,61.351,-8.38E+06,6434.1,-3788.1,2718.4,2974.3,0
171,10,145.57,152,64.054,-8.38E+06,-3795.9,1124.9,-2047.8,5297,0
172,0,99.627,113,56.892,-8.39E+06,5961.9,5389.6,3490.4,-3845.8,0
173,0,147.19,155,52.046,-8.38E+06,699.15,-7880.7,916.36,420.26,0
174,0,103.04,108,67.757,-8.39E+06,10105,4157.2,-612.16,-1297.6,0
175,0,132.72,144,58.622,-8.39E+06,5736.2,-5635.8,3712,-707.52,0
176,0,123.76,131,58.786,-8.39E+06,6199.2,-4523.5,-3316.2,1835.5,0
177,0,105.96,122,62.339,-8.39E+06,4017.4,6173.5,3394.9,1043.3,0
178,0,129.14,134,57.433,-8.39E+06,4728.2,1752.8,-5558.7,-2933.3,0
179,0,129.91,144,69.402,-8.39E+06,10114,2361,-1490,-3193,0
180,0,107.26,116,58.196,-8.39E+06,8038.9,1471.9,3473.8,-452.66,0
181,0,111.53,124,61.494,-8.39E+06,8967.2,2890.6,2085.6,-3857.4,0
182,0,116.21,129,66.99,-8.39E+06,11067,2082.6,3421.8,-2702.4,0
183,0,130.15,137,62.502,-8.39E+06,5142.3,-3565,-2188.1,834.84,0
184,0,118.48,130,58.863,-8.39E+06,7202.3,-722.24,3178.3,-1153,0
185,0,156.25,172,63.308,-8.38E+06,-3573.4,-2053.4,1947.7,4622,0
186,0,118.44,121,60,-8.39E+06,7427.8,1638.2,-1159.9,15.078,0
187,0,114.23,122,56.084,-8.39E+06,6680,2002.9,153.87,-1035.8,0
188,0,114.55,118,50.449,-8.39E+06,4249.1,-672.01,-565.17,-519.79,0
189,0,118.87,133,61.218,-8.39E+06,5455.3,3715.6,4946.7,-66.167,0
190,0,115.71,127,59.709,-8.39E+06,9588.6,-3419.3,-368.81,-523,0
191,14,127.63,138,76.639,-8.39E+06,2695,8082,3200.9,1271.7,0
192,0,135.17,143,58.998,-8.38E+06,6410.3,-3906.7,-819.04,1684.4,0
193,0,125.21,139,63.368,-8.39E+06,3789.7,3798.2,600.41,-1634.2,0
194,0,124.4,133,63.282,-8.39E+06,8164.5,509.67,549.98,-96.612,0
195,0,123.7,131,57.328,-8.39E+06,4960.3,986.14,1793.9,746.26,0
196,0,122.39,129,60.848,-8.39E+06,2882.9,-3145.7,-201.67,5080.5,0
197,0,119.44,128,66.713,-8.39E+06,3951.5,3164.2,-2548.8,5341.7,0
198,0,124.55,140,61.001,-8.39E+06,5342.1,-3523.7,-3280.3,4534.3,0
199,0,126.19,138,56.892,-8.39E+06,-88.782,3134.4,-3762.5,2065.7,0
200,25,168.38,191,68.556,-8.37E+06,9455.4,-573.28,3155.7,-3896.1,0
